time,x,y,psi,u,v,r,p,delta,n,thrust,torque
0,3.1693892,-0.00023184,-0.04394399,1.17741926,-0.00098425,-0.0093795,-0.00760041,-0.0366211,10.2295,41.62,1.03629
0.05,3.2282567,-0.00027578,-0.0439446,1.17733513,-0.00087644,-0.007743414,-0.00558432,-0.0366211,10.2295,42.037,1.04207
0.1,3.2871424,-0.00031973,-0.04394492,1.1774239,-0.00070494,-0.006275517,-0.00444286,-0.0366211,10.2295,42.335,1.04661
0.15,3.3459649,-0.00036367,-0.0439451,1.176904,-0.00049478,-0.004959362,-0.00383691,-0.0366211,10.2295,42.382,1.04825
0.2,3.4048447,-0.00037959,-0.04394519,1.17686178,-0.00057546,-0.003771286,-0.00350872,-0.0366211,10.2295,42.253,1.04661
0.25,3.463686,-0.00039551,-0.04394524,1.17640379,-0.0006048,-0.002681199,-0.00333178,-0.0366211,10.2295,42.159,1.04617
0.3,3.5224551,-0.00043945,-0.04394527,1.17638154,-0.00073619,-0.001653251,-0.0032365,-0.0366211,10.2295,42.141,1.04576
0.35,3.5812727,-0.00046143,-0.04394528,1.17629838,-0.00076774,-0.0006464,0.00339645,-0.0366211,10.2295,42.225,1.04805
0.4,3.6400831,-0.0005334,-0.04394529,1.17635233,-0.00082955,0.000385122,0.01665588,-0.0366211,10.2295,42.364,1.0501
0.45,3.6988979,-0.00055537,-0.04394529,1.17587324,-0.0009647,0.001491389,0.0287743,-0.0488281,10.2295,42.534,1.05333
0.5,3.7577144,-0.00062734,-0.0439453,1.17587464,-0.00136112,0.002726332,0.03415826,-0.158691,10.2295,42.568,1.05331
0.55,3.8164787,-0.00067129,-0.0439453,1.17614054,-0.00132127,0.004147214,0.037256,-0.317383,10.2295,42.615,1.05416
0.6,3.8752927,-0.00076523,-0.0439453,1.17561473,-0.00151364,0.005813938,0.0389036,-0.585937,10.2295,42.802,1.05697
0.65,3.9341042,-0.00080918,-0.0439453,1.17576095,-0.00180634,0.007788156,0.03978419,-0.939941,10.2295,43.078,1.06196
0.7,3.9928267,-0.0009251,-0.0439453,1.17570677,-0.00178917,0.010132119,0.040263,-1.37939,10.2295,43.216,1.06377
0.75,4.0516338,-0.00103496,-0.0439453,1.17574952,-0.00195998,0.012907295,0.04051935,-1.9165,10.2295,43.211,1.06311
0.8,4.1104302,-0.00112285,-0.0439453,1.17604338,-0.00224105,0.016172754,0.04065804,-2.50244,10.2295,43.283,1.06393
0.85,4.1692181,-0.00123272,-0.0439453,1.17631055,-0.00269474,0.019983394,0.04073267,-3.13721,10.2295,43.497,1.06889
0.9,4.2280667,-0.00139258,-0.0439453,1.17654069,-0.00280128,0.0243881,0.04077293,-3.93066,10.2295,43.651,1.0722
0.95,4.2868817,-0.00155244,-0.0439453,1.17661186,-0.00336507,0.029427923,0.04549742,-4.67529,10.2295,43.727,1.0736
1,4.3457697,-0.00170625,-0.0439453,1.17673317,-0.0033198,0.035134425,0.0582491,-5.46875,10.2295,43.794,1.07362
1.05,4.4045744,-0.001904,-0.0439453,1.17696917,-0.00333833,0.041528292,0.06930578,-6.26221,10.2295,43.846,1.07318
1.1,4.463421,-0.00205176,-0.0439453,1.17692092,-0.00356377,0.048618323,0.07684796,-6.93359,10.2295,43.722,1.07001
1.15,4.5222855,-0.00223359,-0.0439453,1.17685916,-0.0034697,0.056400887,0.08051656,-7.59277,10.2295,43.562,1.06695
1.2,4.5811143,-0.00241543,-0.0439453,1.17681057,-0.0038791,0.064859895,0.08245737,-8.19092,10.2295,43.509,1.06642
1.25,4.639983,-0.00259121,-0.0439453,1.17684726,-0.0042987,0.073967302,0.08352916,-8.64258,10.2295,43.574,1.06862
1.3,4.6988262,-0.00283897,-0.0439453,1.17621162,-0.0042522,0.083684113,0.08409632,-9.06982,10.2295,43.605,1.07016
1.35,4.7576523,-0.00305264,-0.0439453,1.17605966,-0.00483049,0.093961838,0.08440568,-9.42383,10.2295,43.678,1.07217
1.4,4.8164001,-0.00327236,-0.0439453,1.17617565,-0.00499246,0.104744317,0.08457158,-9.68017,10.2295,43.762,1.07297
1.45,4.8752129,-0.00359209,-0.03495766,1.17626208,-0.0050957,0.115969779,0.08466122,-9.88769,10.2295,43.905,1.07409
1.5,4.9340161,-0.00381182,-0.02109576,1.17634779,-0.0052097,0.127573045,0.08470952,-9.97314,10.2295,44.022,1.07446
1.55,4.9928454,-0.00407549,-0.01082187,1.17642952,-0.00527841,0.139487742,0.08473555,-10.0098,10.2295,44.115,1.07547
1.6,5.0516761,-0.00436113,-0.00582001,1.17668797,-0.00547342,0.151648408,0.08474959,-10.022,10.2295,44.142,1.07668
1.65,5.1104938,-0.00462481,-0.00315564,1.17650012,-0.00564001,0.163992409,0.08475715,-10.022,10.2295,44.137,1.07794
1.7,5.1693458,-0.00491651,0.00259689,1.17593024,-0.00570967,0.176461582,0.08476123,-10.022,10.2295,44.07,1.07858
1.75,5.2281271,-0.00520215,0.01600116,1.17582273,-0.00577222,0.189003555,0.08476343,-10.022,10.2295,43.897,1.07509
1.8,5.2869234,-0.00550977,0.03016941,1.17600098,-0.00578168,0.201572715,0.08476461,-10.022,10.2295,43.621,1.07106
1.85,5.3456913,-0.00579541,0.0361014,1.17573603,-0.00578344,0.214130814,0.08476525,-10.022,10.2295,43.495,1.0679
1.9,5.4044994,-0.00608106,0.04638293,1.17560371,-0.00619134,0.226647232,0.0847656,-10.022,10.2295,43.642,1.06943
1.95,5.4632512,-0.0063667,0.06151047,1.17561699,-0.0062648,0.239098911,0.08476578,-10.022,10.2295,43.934,1.07282
2,5.5220511,-0.00672432,0.07465154,1.17595409,-0.00605909,0.251470003,0.08476588,-10.022,10.2295,44.181,1.07617
2.05,5.5808333,-0.00700996,0.08487113,1.17563024,-0.00615827,0.263751281,0.08476594,-10.022,10.2295,44.287,1.07748
2.1,5.6396721,-0.00731758,0.10089514,1.175642,-0.0061384,0.275939352,0.08476597,-10.022,10.2295,44.31,1.07848
2.15,5.6984076,-0.0076252,0.11644839,1.17539264,-0.00616738,0.288035738,0.08476598,-10.022,10.2295,44.282,1.07845
2.2,5.7571655,-0.00793281,0.13210837,1.17506092,-0.00657376,0.300045873,0.08476599,-10.022,10.2295,44.232,1.07954
2.25,5.8159304,-0.00824043,0.15007314,1.17471299,-0.00663352,0.311978067,0.08267333,-10.022,10.2295,44.287,1.08195
2.3,5.8746514,-0.00862002,0.16245823,1.17471956,-0.00654941,0.323842493,0.07784033,-10.022,10.2295,44.384,1.08495
2.35,5.9333749,-0.00892158,0.17760189,1.17447252,-0.00666891,0.33565024,0.06451822,-10.022,10.2295,44.448,1.08474
2.4,5.9921265,-0.00925117,0.19474964,1.17512576,-0.00656528,0.34741247,0.05542658,-10.022,10.2295,44.485,1.08447
2.45,6.0508186,-0.00958076,0.21340681,1.17500458,-0.00655611,0.359139709,0.05082432,-10.022,10.2295,44.518,1.08357
2.5,6.1096391,-0.00991035,0.23259493,1.17546803,-0.00666765,0.370841297,0.04569982,-10.022,10.2295,44.51,1.08421
2.55,6.168355,-0.01023994,0.24997521,1.17600593,-0.00683964,0.382524997,0.04365209,-10.022,10.2295,44.437,1.08369
2.6,6.2272038,-0.01059151,0.26915375,1.17597353,-0.00679513,0.394196763,0.04229808,-10.022,10.2295,44.345,1.0832
2.65,6.2860268,-0.01094307,0.2904778,1.17583682,-0.00680316,0.405860662,0.04162496,-10.022,10.2295,44.169,1.07949
2.7,6.3448267,-0.01127266,0.31067735,1.17574516,-0.00679116,0.417518916,0.04125267,-10.022,10.2295,44.088,1.07694
2.75,6.4035886,-0.01160225,0.33114676,1.17561725,-0.00677662,0.429172038,0.04105296,-10.022,10.2295,44.229,1.07817
2.8,6.4623834,-0.01195381,0.35129253,1.17566368,-0.00665736,0.440819031,0.04094573,-10.022,10.2295,44.511,1.08449
2.85,6.5211378,-0.0122834,0.37568363,1.17628004,-0.00684186,0.452457621,0.0408877,-10.022,10.2295,44.782,1.0894
2.9,6.5799328,-0.01261299,0.39936333,1.17678766,-0.00650751,0.464084473,0.04085652,-10.022,10.2295,44.903,1.09128
