time,x,y,psi,u,v,r,p,delta,n,thrust,torque
0,2.3437253,0.00054932,-0.04386824,1.17982289,-0.00052335,-0.024352905,-0.03032007,-0.012207,10.2295,41.182,1.0258
0.05,2.4027074,0.00049932,-0.04390376,1.18010625,-0.00032074,-0.021978491,-0.03972851,-0.012207,10.2295,41.285,1.0264
0.1,2.4617143,0.00047714,-0.04392291,1.18003145,-0.00044547,-0.019699261,-0.05621448,-0.012207,10.2295,41.333,1.02637
0.15,2.5207216,0.00047714,-0.04393323,1.17973594,-0.0005622,-0.017576765,-0.0737213,-0.012207,10.2295,41.335,1.02581
0.2,2.579726,0.00042714,-0.04393879,1.1794764,-0.00033954,-0.015665784,-0.08096674,-0.012207,10.2295,41.407,1.02734
0.25,2.6386717,0.00040521,-0.04394179,1.17913075,-0.0005821,-0.014013877,-0.09003211,-0.012207,10.2295,41.592,1.03052
0.3,2.697638,0.00040521,-0.04394341,1.17868483,-0.00072652,-0.012661298,-0.10504386,-0.012207,10.2295,41.87,1.03552
0.35,2.7565487,0.00033327,-0.04394428,1.178752,-0.0006245,-0.011641154,-0.12012833,-0.012207,10.2295,41.966,1.03722
0.4,2.8154635,0.00031134,-0.04394475,1.17858677,-0.00098407,-0.010979663,-0.12654618,-0.012207,10.2295,41.913,1.03577
0.45,2.8744068,0.00026747,-0.043945,1.17813181,-0.0011834,-0.010696413,-0.13050929,-0.012207,10.2295,41.811,1.03346
0.5,2.9333024,0.00017336,-0.04394514,1.17784695,-0.00105676,-0.010804512,-0.13254693,-0.012207,10.2295,41.813,1.03359
0.55,2.9921688,0.00012949,-0.04394521,1.1779307,-0.00091837,-0.011310607,-0.13366084,-0.012207,10.2295,41.873,1.03489
0.6,3.0510488,0.00006369,-0.04394525,1.17806266,-0.00085808,-0.012214787,-0.1342608,-0.012207,10.2295,42.039,1.03687
0.65,3.1099616,0.00004765,-0.04394527,1.17790632,-0.00066751,-0.013510417,-0.12307505,-0.012207,10.2295,42.336,1.04007
0.7,3.168883,0.00000378,-0.04394529,1.17769265,-0.00048169,-0.015184016,-0.10872742,-0.012207,10.2295,42.672,1.04505
0.75,3.2277499,0.00000967,-0.04394529,1.1777593,-0.00033762,-0.017215309,-0.10057874,-0.012207,10.2295,42.819,1.04703
0.8,3.2866156,-0.0000342,-0.0439453,1.17773683,-0.00017637,-0.019577575,-0.09604942,-0.012207,10.2295,42.921,1.04824
0.85,3.3455193,-0.00000613,-0.0439453,1.17737936,-0.00034486,-0.022238417,-0.08719298,-0.012207,10.2295,42.996,1.04962
0.9,3.4044134,-0.00002807,-0.0439453,1.1767637,-0.00034248,-0.025161015,-0.07267634,-0.012207,10.2295,43.062,1.05071
0.95,3.4632383,-0.00005,-0.0439453,1.17641173,0.00003102,-0.028305896,-0.05989662,-0.012207,10.2295,43.057,1.05073
1,3.5220359,-0.00007217,-0.0439453,1.17642717,0.00024471,-0.031633151,-0.0451645,-0.012207,10.2295,43.083,1.05128
1.05,3.5808337,-0.00002217,-0.0439453,1.17633094,-0.00017896,-0.03510498,-0.0280113,-0.012207,10.2295,43.027,1.05131
1.1,3.6396542,-0.00002217,-0.0439453,1.17646959,0.00000749,-0.038688383,-0.01170051,-0.012207,10.2295,42.861,1.04861
1.15,3.6984567,-0.00007217,-0.0439453,1.17656393,-0.0003917,-0.042357754,0.00686852,0.0366211,10.2295,42.809,1.04809
1.2,3.7573109,-0.00002217,-0.0439453,1.17627352,-0.0004279,-0.046097128,0.02378764,0.170898,10.2295,42.905,1.04993
1.25,3.8161259,-0.00009411,-0.0439453,1.17639607,-0.00015608,-0.049901839,0.04022139,0.378418,10.2295,43.027,1.05248
1.3,3.8749134,-0.00009411,-0.05052689,1.17628786,-0.00009224,-0.053779374,0.05858253,0.671387,10.2295,43.087,1.05413
1.35,3.9337758,-0.00004411,-0.06375871,1.17600516,0.0000047,-0.057749315,0.07118834,1.07422,10.2295,43.042,1.05421
1.4,3.9925645,-0.00009411,-0.07586228,1.17611341,0.00006417,-0.061842297,0.08644895,1.53809,10.2295,42.948,1.05215
1.45,4.0513532,-0.00009411,-0.08123823,1.17586347,0.00006352,-0.06609806,0.10366015,2.09961,10.2295,42.908,1.05057
1.5,4.110176,-0.00007217,-0.08433165,1.17603926,0.00002136,-0.070562739,0.11576981,2.68555,10.2295,42.958,1.05004
1.55,4.1689317,-0.00007217,-0.08597692,1.17606442,0.00002458,-0.075285621,0.12174451,3.35693,10.2295,43.019,1.05094
1.6,4.2277381,-0.00007217,-0.08685626,1.17622851,0.00000944,-0.080315668,0.1249385,4.1626,10.2295,43.018,1.05066
1.65,4.2865761,-0.00007217,-0.08733439,1.17637148,0.00000676,-0.085698109,0.13819835,4.89502,10.2295,43.009,1.05029
1.7,4.3453855,-0.00007217,-0.08759037,1.17654108,0.00025267,-0.091471404,0.1536476,5.7373,10.2295,42.985,1.0489
1.75,4.4042334,-0.00007217,-0.08772887,1.17658492,0.00031662,-0.097664834,0.16239527,6.46973,10.2295,42.975,1.04893
1.8,4.4630586,-0.00002217,-0.08780339,1.17681557,0.00051956,-0.104296898,0.15573788,7.1167,10.2295,42.982,1.04935
1.85,4.5218938,-0.00002217,-0.0878436,1.17666265,0.00092593,-0.111374612,0.14366433,7.78809,10.2295,43.077,1.05146
1.9,4.5807499,0.00005,-0.08786526,1.17684169,0.00106164,-0.118893712,0.13680002,8.32519,10.2295,43.213,1.05269
1.95,4.6395581,0.00012193,-0.09216186,1.17676457,0.00152574,-0.126839666,0.13294648,8.76465,10.2295,43.37,1.05493
2,4.6984155,0.00019387,-0.10479852,1.17649877,0.00144919,-0.135189343,0.1267553,9.17969,10.2295,43.444,1.05571
2.05,4.7572642,0.00025967,-0.11854761,1.17623019,0.0016379,-0.143913122,0.11303827,9.48486,10.2295,43.459,1.05651
2.1,4.8160315,0.00034765,-0.12425513,1.1764511,0.00181448,-0.152977209,0.09872348,9.7168,10.2295,43.473,1.05685
2.15,4.8748382,0.00043563,-0.12783374,1.17590429,0.0019945,-0.162345943,0.08371909,9.87549,10.2295,43.56,1.05881
2.2,4.933672,0.0005453,-0.13865174,1.17625238,0.00171964,-0.171983875,0.06611247,9.93652,10.2295,43.672,1.06141
2.25,4.9924491,0.00065521,-0.15351591,1.17631499,0.00182472,-0.181857484,0.04733699,9.96094,10.2295,43.78,1.06475
2.3,5.0512696,0.00069319,-0.16432953,1.17627963,0.00224562,-0.191936415,0.02805279,9.96094,10.2295,43.821,1.06539
2.35,5.1100901,0.00082503,-0.16962136,1.17635309,0.00220289,-0.202194222,0.00843426,9.96094,10.2295,44.027,1.06846
2.4,5.1689327,0.00097881,-0.17244251,1.17667545,0.00230418,-0.212608608,-0.01134357,9.97314,10.2295,44.269,1.07176
2.45,5.2277529,0.00106066,-0.18550271,1.17650918,0.00246618,-0.223161248,-0.0334058,9.97314,10.2295,44.377,1.07288
2.5,5.2865959,0.00119863,-0.20084412,1.17631928,0.00265632,-0.233837269,-0.05389827,9.97314,10.2295,44.291,1.07025
2.55,5.3453977,0.00133637,-0.2095337,1.17617773,0.00257747,-0.24462451,-0.07665999,9.97314,10.2295,44.13,1.06683
2.6,5.4042068,0.00145241,-0.22334081,1.17639019,0.0025563,-0.255512676,-0.09745205,9.97314,10.2295,43.892,1.06262
2.65,5.4630066,0.00156232,-0.23963418,1.17601493,0.00253921,-0.266492479,-0.11611302,9.97314,10.2295,43.65,1.05925
2.7,5.5218191,0.0017161,-0.25127711,1.1754801,0.00229021,-0.277554867,-0.13587777,9.97314,10.2295,43.44,1.05625
2.75,5.580571,0.00181988,-0.26128536,1.17537329,0.00261452,-0.288690388,-0.15536685,9.97314,10.2295,43.319,1.05438
2.8,5.6392954,0.00192366,-0.27697315,1.17569332,0.00253076,-0.299888745,-0.16618812,9.97314,10.2295,43.334,1.0543
2.85,5.6980818,0.00207744,-0.2923976,1.17554285,0.00234818,-0.311138531,-0.18116041,9.97314,10.2295,43.554,1.0575
2.9,5.7568871,0.00216542,-0.30797876,1.17544918,0.00244003,-0.322427162,-0.19808164,9.97314,10.2295,43.774,1.06086
2.95,5.8156356,0.00230316,-0.32590225,1.17551299,0.00242564,-0.333740969,-0.21006197,9.97314,10.2295,43.92,1.06254
3,5.874436,0.00244113,-0.340358,1.17536128,0.00209414,-0.345065424,-0.21596768,9.97314,10.2295,43.872,1.06071
3.05,5.9332066,0.00255104,-0.35855828,1.17539532,0.0021232,-0.356385461,-0.21912323,9.97314,10.2295,43.791,1.05726
3.1,5.991971,0.00261096,-0.37914388,1.17569099,0.00201329,-0.36768586,-0.22085493,9.97314,10.2295,43.673,1.05402
3.15,6.0507396,0.00274256,-0.39899271,1.17574959,0.00227681,-0.378951661,-0.22177128,9.97314,10.2295,43.457,1.04987
3.2,6.1095612,0.00284658,-0.41926533,1.17555679,0.00193852,-0.390168568,-0.21798565,9.97314,10.2295,43.17,1.04475
3.25,6.1683439,0.00297843,-0.43678515,1.17590851,0.0015125,-0.401323343,-0.20562276,9.97314,10.2295,43.047,1.04314
3.3,6.227124,0.00301616,-0.45617485,1.17588155,0.00139248,-0.412404157,-0.1920215,9.97314,10.2295,43.065,1.04382
3.35,6.2859346,0.00308221,-0.47821261,1.17606139,0.0010465,-0.423400877,-0.184301,9.97314,10.2295,43.212,1.0464
3.4,6.3447336,0.00312607,-0.4986291,1.17633376,0.00119298,-0.434305314,-0.16870915,9.97314,10.2295,43.303,1.04849
3.45,6.4035638,0.00316994,-0.52138265,1.17689035,0.00089476,-0.445111378,-0.15168852,9.97314,10.2295,43.326,1.04919
3.5,6.4624108,0.00323599,-0.54425428,1.17667924,0.00113895,-0.455815173,-0.13789892,9.97314,10.2295,43.279,1.04935
3.55,6.5213247,0.00325179,-0.57026406,1.1767774,0.00092639,-0.46641501,-0.11996905,9.97314,10.2295,43.243,1.0491
3.6,6.5801026,0.00337372,-0.59459224,1.17718188,0.00073185,-0.476911333,-0.10166437,9.97314,10.2295,43.272,1.05081
3.65,6.6389756,0.00331783,-0.61637755,1.17739588,0.00125204,-0.487306567,-0.08245214,9.97314,10.2295,43.317,1.05188
3.7,6.6978668,0.00342774,-0.64432947,1.17753874,0.00061934,-0.497604877,-0.06051599,9.97314,10.2295,43.423,1.05502
3.75,6.7567426,0.00347161,-0.66666123,1.17733063,0.00027276,-0.507811869,-0.04014479,9.97314,10.2295,43.616,1.05736
3.8,6.8156144,0.00344355,-0.69359344,1.17757672,0.00034222,-0.517934205,-0.01512661,9.97314,10.2295,43.799,1.06018
3.85,6.8744815,0.00345959,-0.72005942,1.17766191,0.00010785,-0.527979194,0.00623892,9.97314,10.2295,43.875,1.06108
3.9,6.9333774,0.00348152,-0.74770023,1.17698338,-0.00036729,-0.537954336,0.025337,9.97314,10.2295,43.891,1.06194
3.95,6.9922981,0.00343152,-0.77555098,1.17650169,-0.00038343,-0.547866879,0.04531274,9.97314,10.2295,43.818,1.06102
4,7.0510336,0.00340346,-0.80059869,1.17588853,-0.00052528,-0.557723384,0.06500545,9.97314,10.2295,43.69,1.05957
4.05,7.1098605,0.00338152,-0.83053739,1.17581954,-0.00093824,-0.567529352,0.08237956,9.97314,10.2295,43.696,1.05925
4.1,7.1686092,0.00333152,-0.86070579,1.17575188,-0.00092549,-0.577288913,0.10162872,9.97314,10.2295,43.861,1.06213
4.15,7.2273833,0.00323741,-0.8867553,1.17549478,-0.00134861,-0.587004609,0.11461674,9.97314,10.2295,43.923,1.06195
4.2,7.2861829,0.00321548,-0.91754732,1.1754385,-0.00139517,-0.596677287,0.1211344,9.97314,10.2295,43.907,1.06048
4.25,7.3449387,0.00310557,-0.94809083,1.17576397,-0.00157338,-0.606306096,0.13611524,9.97314,10.2295,43.781,1.05676
4.3,7.4037106,0.0030459,-0.97657248,1.17546861,-0.00160461,-0.615888597,0.15254188,9.97314,10.2295,43.613,1.05296
4.35,7.4625375,0.00294188,-1.0080588,1.1751514,-0.00176712,-0.625420977,0.16179391,9.97314,10.2295,43.293,1.04872
4.4,7.5212592,0.00288221,-1.04212865,1.1750021,-0.00174194,-0.634898334,0.16692334,9.97314,10.2295,42.997,1.04477
4.45,7.5799588,0.00274423,-1.07394435,1.17438288,-0.00191044,-0.644315038,0.16952011,9.97314,10.2295,42.91,1.04269
4.5,7.6387155,0.00267843,-1.10375421,1.17412823,-0.00202565,-0.653665116,0.17097864,9.97314,10.2295,43.024,1.04369
4.55,7.6973553,0.00259045,-1.13575513,1.17386508,-0.00180445,-0.662942653,0.1717483,9.97314,10.2295,43.082,1.04271
4.6,7.7560838,0.00245247,-1.17193238,1.17362914,-0.00193954,-0.672142178,0.16065916,9.97314,10.2295,43.19,1.04414
4.65,7.8147328,0.00241474,-1.20678492,1.17370105,-0.00215955,-0.681259005,0.14636241,9.97314,10.2295,43.306,1.04693
4.7,7.8734419,0.00230482,-1.24242141,1.17385027,-0.00234923,-0.69028953,0.13824143,9.97314,10.2295,43.442,1.05025
4.75,7.9321258,0.00217298,-1.27614879,1.17383821,-0.00223314,-0.699231443,0.13372699,9.97314,10.2295,43.547,1.05263
4.8,7.9908544,0.00204113,-1.31167621,1.17424951,-0.00216687,-0.708083879,0.11995211,9.97314,10.2295,43.624,1.05449
4.85,8.0495155,0.00195316,-1.34933716,1.17429937,-0.00242709,-0.716847469,0.10414993,9.97314,10.2295,43.575,1.05344
4.9,8.1082918,0.00183735,-1.3853465,1.17405697,-0.00261968,-0.725524329,0.09094888,9.97314,10.2295,43.518,1.0515
4.95,8.1670075,0.00169938,-1.42139543,1.17403937,-0.00312443,-0.734117955,0.07337113,9.97314,10.2295,43.398,1.04823
5,8.2256724,0.00153947,-1.45760909,1.17359031,-0.00331809,-0.742633059,0.05503337,9.97314,10.2295,43.228,1.04544
5.05,8.2843694,0.00133569,-1.4938639,1.17361486,-0.00345418,-0.751075338,0.03586567,9.97314,10.2295,43.074,1.04345
5.1,8.342981,0.00115997,-1.5322333,1.17353647,-0.00397905,-0.759451191,0.01633332,9.97314,10.2295,43.025,1.04386
5.15,8.4016649,0.00096232,-1.57116272,1.17363813,-0.00425223,-0.7677674,0.00382055,9.97314,10.2295,43.081,1.04548
5.2,8.4603339,0.00072057,-1.61060412,1.17371375,-0.00415749,-0.776030789,-0.01413513,9.97314,10.2295,43.187,1.04756
5.25,8.5190235,0.00049461,-1.65027276,1.17387255,-0.00482222,-0.784247879,-0.0326491,9.97314,10.2295,43.165,1.0473
5.3,8.5776988,0.00031301,-1.69007242,1.17377596,-0.00559982,-0.792424551,-0.05190729,9.97314,10.2295,43.069,1.04577
5.35,8.636418,-0.00002875,-1.72994169,1.17396263,-0.00582248,-0.800565756,-0.07149619,9.97314,10.2295,43.077,1.04607
5.4,8.6950773,-0.00035848,-1.76984818,1.17432641,-0.00586857,-0.808675275,-0.07975178,9.97314,10.2295,43.19,1.04698
5.45,8.7538049,-0.00064411,-1.80977491,1.17424719,-0.00668334,-0.816755554,-0.09408049,9.97314,10.2295,43.336,1.04877
5.5,8.8125292,-0.00095167,-1.84971248,1.17379522,-0.00771109,-0.824807638,-0.1106263,9.97314,10.2295,43.566,1.05192
5.55,8.8711974,-0.00138116,-1.89195258,1.17357443,-0.00757067,-0.832831202,-0.12240069,9.97314,10.2295,43.8,1.05678
5.6,8.9298941,-0.00183896,-1.93479727,1.17339589,-0.00835415,-0.840824688,-0.12820249,9.97314,10.2295,44.033,1.05919
5.65,8.9885555,-0.00219039,-1.97589714,1.17316095,-0.00883418,-0.848785539,-0.13129946,9.97314,10.2295,44.187,1.06176
5.7,9.047194,-0.00269584,-2.01893751,1.17320813,-0.00884039,-0.856710514,-0.13300034,9.97314,10.2295,44.26,1.0631
5.75,9.1058504,-0.00313524,-2.06206589,1.17316593,-0.00948037,-0.864596061,-0.13389988,9.97314,10.2295,44.146,1.06133
5.8,9.1645283,-0.00359658,-2.10565219,1.17305556,-0.01040038,-0.872438718,-0.1343902,9.97314,10.2295,43.92,1.05689
5.85,9.2231712,-0.00413623,-2.14937994,1.17359558,-0.01094966,-0.880235499,-0.13465302,9.97314,10.2295,43.78,1.05441
5.9,9.2818229,-0.0047195,-2.19321273,1.17345992,-0.01152048,-0.887984248,-0.13479503,9.97314,10.2295,43.786,1.05384
5.95,9.3405668,-0.00532495,-2.23939329,1.17375902,-0.01217155,-0.895683908,-0.13487153,9.97314,10.2295,43.824,1.0545
6,9.3992017,-0.00594007,-2.28390697,1.17333407,-0.01265622,-0.903334698,-0.13491277,9.97314,10.2295,43.639,1.05035
6.05,9.4578893,-0.00657736,-2.32848904,1.17311822,-0.01315561,-0.910938178,-0.12342683,9.97314,10.2295,43.344,1.04471
