time,x,y,psi,u,v,r,p,delta,n,thrust,torque
0,2.933305,-0.00719322,0.00000001,1.17756135,-0.00303013,-0.000286057,0.01233688,0,10.2295,40.974,1.02193
0.05,2.9921414,-0.00735313,0,1.17758238,-0.00281846,0.000136817,0.04071448,0,10.2295,41.131,1.02524
0.1,3.0509897,-0.00750102,0,1.17764913,-0.00238265,0.000601288,0.07129103,0,10.2295,41.33,1.02817
0.15,3.1099128,-0.0076206,0,1.17780307,-0.0023108,0.001134778,0.09507223,0,10.2295,41.546,1.03238
0.2,3.1687891,-0.00768051,0,1.17813333,-0.00201397,0.001767577,0.12273391,0,10.2295,41.677,1.03456
0.25,3.2277001,-0.00781849,0,1.17779804,-0.00159691,0.002532674,0.14531018,0,10.2295,41.962,1.03863
0.3,3.2866405,-0.00788429,0,1.17747035,-0.00122807,0.003465423,0.16446564,0,10.2295,42.419,1.04588
0.35,3.3454493,-0.00792227,0,1.17746148,-0.00113674,0.004603003,0.18464157,0,10.2295,42.764,1.05205
0.4,3.4042915,-0.00796001,0,1.177062,-0.00079352,0.005983646,0.20030383,0,10.2295,42.972,1.05517
0.45,3.4631805,-0.00804799,0,1.1770328,-0.00095394,0.007645647,0.20766228,0,10.2295,43.153,1.05843
0.5,3.5219809,-0.00804185,0,1.17668292,-0.00139738,0.009626183,0.21180621,0,10.2295,43.245,1.05957
0.55,3.580817,-0.00812983,0,1.17634774,-0.0011191,0.01195999,0.21402229,0,10.2295,43.298,1.06092
0.6,3.6396267,-0.00821781,0,1.17623068,-0.00132565,0.014678008,0.21520852,0,10.2295,43.365,1.06195
0.65,3.6984325,-0.00823361,0,1.17623864,-0.00174663,0.017806068,0.21585219,-0.0244141,10.2295,43.455,1.06382
0.7,3.7572144,-0.00835555,0,1.1761261,-0.00194976,0.021363756,0.21619742,-0.134277,10.2295,43.429,1.06314
0.75,3.8160538,-0.00844965,0,1.17558963,-0.00192185,0.025363558,0.21638401,-0.280762,10.2295,43.398,1.06331
0.8,3.8748301,-0.00854352,0,1.17541563,-0.00260028,0.029810379,0.20968901,-0.585937,10.2295,43.374,1.06261
0.85,3.9335792,-0.00865933,0,1.17537642,-0.00246194,0.034701504,0.19645518,-0.939941,10.2295,43.408,1.06302
0.9,3.9923359,-0.00881924,0,1.17543658,-0.00281801,0.040027054,0.18264986,-1.3916,10.2295,43.476,1.06363
0.95,4.0510775,-0.00892302,0,1.17547268,-0.00355515,0.045770889,0.16531881,-1.94092,10.2295,43.612,1.0665
1,4.1098857,-0.00912703,0,1.1753344,-0.00369611,0.051911942,0.14482794,-2.53906,10.2295,43.733,1.06861
1.05,4.1686488,-0.00935275,0,1.17566285,-0.00393516,0.058425862,0.12512507,-3.19824,10.2295,43.911,1.07193
1.1,4.2273759,-0.00952233,0,1.1760937,-0.00439783,0.065286844,0.0983109,-3.97949,10.2295,44.072,1.07495
1.15,4.2862458,-0.00977022,0,1.17646656,-0.00470541,0.072469508,0.07657695,-4.72412,10.2295,44.322,1.07884
1.2,4.3450517,-0.01001787,0.00209263,1.17676912,-0.00449519,0.079950649,0.04997166,-5.51758,10.2295,44.423,1.07936
1.25,4.4039091,-0.01024382,0.0141489,1.17662163,-0.00460044,0.087710744,0.02587285,-6.31103,10.2295,44.481,1.07983
1.3,4.4627837,-0.0104634,0.02936241,1.17688794,-0.00498956,0.095735071,-0.00109916,-6.97021,10.2295,44.416,1.07807
1.35,4.5215868,-0.01072096,0.03535677,1.17672325,-0.00465444,0.104014369,-0.02587777,-7.62939,10.2295,44.274,1.07627
1.4,4.5804533,-0.01098466,0.0394633,1.1765865,-0.0049879,0.112544998,-0.04791864,-8.20312,10.2295,44.097,1.07392
1.45,4.6392677,-0.01120448,0.04148243,1.17615507,-0.00495561,0.121328598,-0.06942535,-8.65478,10.2295,43.99,1.07313
1.5,4.6980549,-0.01149623,0.04262553,1.17615515,-0.00485524,0.130371299,-0.08517999,-9.08203,10.2295,43.978,1.07245
1.55,4.756845,-0.01170992,0.04323236,1.17618116,-0.00527004,0.139682556,-0.10429239,-9.41162,10.2295,44.086,1.07218
1.6,4.8156367,-0.01197362,0.05254866,1.17601151,-0.00511113,0.14927373,-0.11936036,-9.66797,10.2295,44.294,1.0736
1.65,4.8744735,-0.01226513,0.06658775,1.17616261,-0.00508999,0.159156525,-0.1263909,-9.86328,10.2295,44.471,1.07641
1.7,4.9332543,-0.01247882,0.07695706,1.17616089,-0.0050298,0.169341415,-0.13036683,-9.94873,10.2295,44.388,1.07577
1.75,4.9920701,-0.01272058,0.0820104,1.17651311,-0.00528895,0.179836173,-0.13248929,-9.98535,10.2295,44.216,1.07321
1.8,5.0509092,-0.01303427,0.08470251,1.17667372,-0.00506005,0.190644611,-0.13362592,-9.98535,10.2295,44.037,1.07154
1.85,5.1097521,-0.01327603,0.09047,1.17677884,-0.00501636,0.2017656,-0.13424264,-9.98535,10.2295,44.033,1.07198
1.9,5.1685705,-0.01351165,0.10388234,1.17691277,-0.00489271,0.213192432,-0.13457338,-9.98535,10.2295,44.068,1.07274
1.95,5.2274204,-0.01377534,0.11805493,1.17683099,-0.0050391,0.224912544,-0.13475216,-9.98535,10.2295,44.144,1.07344
2,5.2862614,-0.01399493,0.12398926,1.176643,-0.00539436,0.236907602,-0.1348484,-9.98535,10.2295,44.217,1.0741
2.05,5.3450973,-0.01428668,0.1366781,1.17624815,-0.0054538,0.249153929,-0.13280769,-9.98535,10.2295,44.319,1.07514
2.1,5.4039512,-0.01457231,0.15243641,1.17613084,-0.0055227,0.261623223,-0.12077948,-9.98535,10.2295,44.342,1.07519
2.15,5.4626741,-0.01485793,0.16374817,1.17630061,-0.00531168,0.274283517,-0.10558115,-9.98535,10.2295,44.41,1.07604
2.2,5.5215225,-0.01512163,0.17359386,1.17631097,-0.00591924,0.287100316,-0.08808653,-9.98535,10.2295,44.509,1.07806
2.25,5.5803536,-0.01538532,0.18918892,1.17618649,-0.00621588,0.300037826,-0.06946219,-9.98535,10.2295,44.594,1.0795
2.3,5.6391747,-0.01574288,0.20456458,1.17619484,-0.00651812,0.313060215,-0.05262125,-9.98535,10.2295,44.565,1.0798
2.35,5.6979817,-0.01605657,0.22263977,1.17612562,-0.00657904,0.326132831,-0.03366768,-9.98535,10.2295,44.419,1.0776
2.4,5.7567739,-0.01643017,0.24120907,1.17597172,-0.00707629,0.33922331,-0.01656339,-9.98535,10.2295,44.153,1.07487
2.45,5.8155545,-0.01675966,0.25581802,1.17573437,-0.00704787,0.352302531,0.00249635,-9.98535,10.2295,43.89,1.07119
2.5,5.874354,-0.01711746,0.27416634,1.17583605,-0.00714134,0.365345366,0.02375671,-9.98535,10.2295,43.742,1.06947
2.55,5.9331168,-0.01749082,0.2951118,1.17559171,-0.0073314,0.378331199,0.04392085,-9.98535,10.2295,43.81,1.07045
2.6,5.9919396,-0.01784249,0.31507658,1.17539687,-0.00759283,0.39124421,0.06437209,-9.98535,10.2295,43.985,1.07291
2.65,6.050694,-0.01824392,0.33535442,1.17590553,-0.00768507,0.404073404,0.0845077,-9.98535,10.2295,44.13,1.0741
2.7,6.1094597,-0.01863946,0.3554148,1.1762568,-0.00773973,0.416812429,0.10460844,-9.98535,10.2295,44.291,1.07603
2.75,6.1683198,-0.01901306,0.37974474,1.17651237,-0.00761069,0.429459176,0.11993969,-9.98535,10.2295,44.363,1.07584
2.8,6.2271447,-0.01943053,0.40087475,1.17683646,-0.00766253,0.442015225,0.13871748,-9.98535,10.2295,44.369,1.0768
2.85,6.2860127,-0.01977607,0.42437701,1.17688719,-0.00799588,0.454485152,0.15560075,-9.98535,10.2295,44.19,1.07472
2.9,6.3448815,-0.0201775,0.445468,1.17661393,-0.00802056,0.466875763,0.16515033,-9.98535,10.2295,43.972,1.07139
2.95,6.4037024,-0.02059497,0.47091149,1.176612,-0.0075917,0.479195284,0.18171194,-9.98535,10.2295,43.865,1.06811
3,6.4624944,-0.02101857,0.49249936,1.17673814,-0.00725618,0.491452553,0.19925956,-9.98535,10.2295,43.956,1.06988
3.05,6.5213617,-0.0213141,0.51861385,1.17695509,-0.00672136,0.503656256,0.20652701,-9.98535,10.2295,44.102,1.07185
3.1,6.5802275,-0.02163771,0.54255299,1.17752333,-0.00706715,0.515814229,0.21131935,-9.98535,10.2295,44.269,1.07474
3.15,6.6390749,-0.02198324,0.56939729,1.17827297,-0.00645397,0.527932863,0.21370721,-9.98535,10.2295,44.397,1.07694
3.2,6.6980574,-0.02235661,0.59860534,1.17842387,-0.00571788,0.540016615,0.21504953,-9.98535,10.2295,44.435,1.07816
3.25,6.757002,-0.0225703,0.62387951,1.17894319,-0.00607498,0.552067667,0.21576358,-9.98535,10.2295,44.352,1.07721
3.3,6.8159262,-0.02285003,0.65431404,1.17900647,-0.00561423,0.564085705,0.2161501,-9.98535,10.2295,44.307,1.07699
3.35,6.8749103,-0.02317952,0.68235715,1.17872912,-0.0051318,0.576067856,0.21635846,-9.98535,10.2295,44.347,1.07844
3.4,6.9338847,-0.02337741,0.70793668,1.17808955,-0.0051539,0.588008767,0.2074829,-9.98535,10.2295,44.416,1.08119
3.45,6.9927468,-0.02365691,0.74043287,1.17746196,-0.0048318,0.599900817,0.19368132,-9.98535,10.2295,44.411,1.08116
3.5,7.0516108,-0.02389253,0.7713421,1.17690179,-0.00427414,0.611734471,0.18343989,-9.98535,10.2295,44.576,1.08293
3.55,7.1103999,-0.02406825,0.8003269,1.17630423,-0.00426813,0.62349875,0.17417065,-9.98535,10.2295,44.834,1.0864
3.6,7.1692364,-0.02431,0.83200807,1.17620766,-0.00393622,0.635181797,0.15888544,-9.98535,10.2295,45.004,1.08982
3.65,7.2279856,-0.02450176,0.8636855,1.1766694,-0.00362389,0.646771521,0.14158469,-9.98535,10.2295,45.041,1.09061
3.7,7.2868172,-0.02464941,0.89731158,1.17628746,-0.00375035,0.658256288,0.12305169,-9.98535,10.2295,45.072,1.09203
3.75,7.3456903,-0.02481923,0.93201072,1.17652504,-0.00326572,0.669625612,0.1038396,-9.98535,10.2295,45.007,1.09129
3.8,7.4044527,-0.02502914,0.9652897,1.17602878,-0.0031318,0.680870814,0.08428153,-9.98535,10.2295,44.775,1.08689
3.85,7.46329,-0.02511099,1.00054566,1.17566521,-0.00282921,0.691985609,0.06452894,-9.98535,10.2295,44.404,1.08142
3.9,7.5220561,-0.02527468,1.03554586,1.17536992,-0.00206035,0.70296656,0.04215379,-9.98535,10.2295,44.278,1.07809
3.95,7.5808111,-0.02535039,1.07072669,1.17499444,-0.00222617,0.713813384,0.01949087,-9.98535,10.2295,44.461,1.08046
4,7.6395461,-0.02543813,1.10885633,1.17469941,-0.00229887,0.72452906,-0.00389244,-9.98535,10.2295,44.815,1.08616
4.05,7.6982717,-0.02560417,1.14546927,1.17402186,-0.00136655,0.735119729,-0.02540838,-9.98535,10.2295,45.044,1.09059
4.1,7.7569498,-0.02566997,1.18207454,1.17425632,-0.001104,0.745594379,-0.04119851,-9.98535,10.2295,45.044,1.0909
4.15,7.8156384,-0.02565795,1.22060573,1.17402094,-0.0009985,0.75596432,-0.06033207,-9.98535,10.2295,44.944,1.09
4.2,7.8743375,-0.0257398,1.25952654,1.17461927,-0.00027154,0.76624249,-0.07749798,-9.98535,10.2295,44.818,1.08742
4.25,7.9330047,-0.02572777,1.2989909,1.17450861,0.00004812,0.776442613,-0.09658983,-9.98535,10.2295,44.667,1.08463
4.3,7.9918087,-0.02569358,1.33865729,1.17450205,0.0004201,0.786578293,-0.11578127,-9.98535,10.2295,44.69,1.08458
4.35,8.0505126,-0.02566551,1.37845939,1.17449803,0.00064819,0.796662086,-0.12389935,-9.98535,10.2295,44.817,1.08706
4.4,8.1092175,-0.02561551,1.41832889,1.17444017,0.00116554,0.806704636,-0.12914315,-9.98535,10.2295,44.849,1.08767
4.45,8.1679699,-0.02556551,1.45823573,1.17393402,0.0014325,0.816713936,-0.13177936,-9.98535,10.2295,44.793,1.08794
4.5,8.2266732,-0.02544358,1.49816261,1.17385123,0.00199027,0.826694782,-0.13325338,-9.98535,10.2295,44.705,1.08704
4.55,8.2853431,-0.02537777,1.53810025,1.17374853,0.00266058,0.836648459,-0.13403909,-9.98535,10.2295,44.597,1.08593
4.6,8.3440406,-0.02522399,1.5803404,1.17361128,0.00322861,0.846572697,-0.13446406,-9.98535,10.2295,44.528,1.08558
4.65,8.4027256,-0.02503224,1.62308074,1.17384257,0.00327917,0.856461913,-0.13469318,-9.98535,10.2295,44.511,1.08619
4.7,8.4614051,-0.02484048,1.66644998,1.17423022,0.00333269,0.866307716,-0.1348166,-9.98535,10.2295,44.573,1.08595
4.75,8.5201154,-0.0246867,1.71006208,1.17464333,0.00376327,0.876099648,-0.13488317,-9.98535,10.2295,44.72,1.0877
4.8,8.5788961,-0.02450485,1.75383269,1.17492017,0.00400813,0.885826118,-0.13282642,-9.98535,10.2295,44.817,1.08904
4.85,8.6376455,-0.02427914,1.79997963,1.17566669,0.00441959,0.89547546,-0.12078958,-9.98535,10.2295,44.829,1.09015
4.9,8.6964422,-0.02405932,1.84447523,1.17548979,0.00480451,0.905037033,-0.10558659,-9.98535,10.2295,44.884,1.09114
4.95,8.7552597,-0.02380176,1.88904755,1.17564416,0.00520829,0.914502299,-0.0995979,-9.98535,10.2295,45.14,1.09611
5,8.8140353,-0.02353194,1.9356557,1.17556629,0.00520383,0.923865799,-0.08650665,-9.98535,10.2295,45.354,1.09983
5.05,8.8728051,-0.02325009,1.98279946,1.17514437,0.00577807,0.933125954,-0.07062704,-9.98535,10.2295,45.452,1.10205
5.1,8.9315762,-0.0229864,2.03055462,1.17472309,0.00603077,0.942285643,-0.05022321,-9.98535,10.2295,45.409,1.10105
5.15,8.9903156,-0.02263497,2.08065099,1.1749065,0.00610457,0.951352512,-0.03075311,-9.98535,10.2295,45.201,1.09692
5.2,9.0489902,-0.02234935,2.128814,1.17475414,0.0069013,0.960338997,-0.01748647,-9.98535,10.2295,44.956,1.09126
5.25,9.1077594,-0.02201372,2.17924994,1.1749066,0.00750499,0.969262051,0.00066822,-9.98535,10.2295,44.976,1.09144
5.3,9.166503,-0.02158399,2.22753803,1.17518154,0.00751536,0.97814259,0.01872373,-9.98535,10.2295,45.037,1.09356
5.35,9.2252828,-0.02120449,2.27595438,1.17499461,0.0079528,0.987004689,0.03789557,-9.98535,10.2295,44.972,1.09448
5.4,9.2840256,-0.02080896,2.32427917,1.17506655,0.0085868,0.995874563,0.05736553,-9.98535,10.2295,44.845,1.09328
5.45,9.3427673,-0.02036955,2.37261587,1.17531391,0.00926394,1.004779392,0.0705014,-9.98535,10.2295,44.896,1.09596
5.5,9.4015372,-0.01987402,2.42556459,1.17541348,0.00961809,1.013746044,0.08609046,-9.98535,10.2295,45.108,1.101
5.55,9.4603009,-0.01936268,2.47720303,1.17493493,0.01021124,1.022799759,0.10346275,-9.98535,10.2295,45.352,1.10577
5.6,9.5190945,-0.0188511,2.52903466,1.17427223,0.01079462,1.031962859,0.11566437,-9.98535,10.2295,45.467,1.10728
5.65,9.577794,-0.01829565,2.57816168,1.1736647,0.01152724,1.041253547,0.12409346,-9.98535,10.2295,45.572,1.10877
5.7,9.6364552,-0.01769044,2.62941849,1.17313542,0.01240732,1.050684849,0.13945205,-9.98535,10.2295,45.604,1.10878
5.75,9.6950922,-0.01704702,2.68101127,1.17303819,0.01289993,1.060263769,0.15391011,-9.98535,10.2295,45.667,1.10921
5.8,9.7536748,-0.0163819,2.73288772,1.17332437,0.01346993,1.06999068,0.16271346,-9.98535,10.2295,45.592,1.10683
5.85,9.8123884,-0.01569461,2.78710038,1.17387906,0.01396377,1.079859014,0.16737367,-9.98535,10.2295,45.371,1.10264
